Sample, R1, STROBE, L
38846, 0, 0, 1
38851, 0, 1, 1
38856, 0, 0, 1
38861, 0, 1, 1
38866, 0, 0, 1
38871, 0, 1, 1
38877, 0, 0, 1
38881, 0, 1, 1
38887, 0, 0, 1
38892, 0, 1, 1
38897, 0, 0, 1
38902, 0, 1, 1
38907, 0, 0, 1
38912, 0, 1, 1
38918, 0, 0, 1
38922, 0, 1, 1
38928, 0, 0, 1
38933, 0, 1, 1
38938, 0, 0, 1
38943, 0, 0, 0
39025, 0, 1, 0
39030, 0, 0, 0
39035, 1, 1, 0
39041, 1, 0, 0
39045, 1, 1, 0
39051, 1, 0, 0
39055, 1, 1, 0
39061, 1, 0, 0
39066, 1, 1, 0
39071, 1, 0, 0
39076, 1, 1, 0
39081, 1, 0, 0
39086, 0, 1, 0
39092, 0, 0, 0
39096, 0, 1, 0
39102, 0, 0, 0
39106, 1, 0, 0
39107, 1, 1, 0
39112, 1, 0, 0
39117, 0, 1, 0
39122, 0, 0, 0
39127, 0, 1, 0
39133, 0, 0, 0
39137, 0, 1, 0
39143, 0, 0, 0
39148, 0, 1, 0
39153, 0, 0, 0
39158, 0, 1, 0
39163, 0, 0, 0
39168, 0, 1, 0
39174, 0, 0, 0
39178, 0, 1, 0
39184, 0, 0, 0
39189, 0, 1, 0
39194, 0, 0, 0
39198, 1, 0, 0
39199, 1, 1, 0
39204, 1, 0, 0
39209, 1, 1, 0
39215, 1, 0, 0
39219, 1, 1, 0
39225, 1, 0, 0
39229, 1, 1, 0
39235, 1, 0, 0
39240, 1, 1, 0
39245, 1, 0, 0
39250, 0, 1, 0
39256, 0, 0, 0
39260, 0, 1, 0
39266, 0, 0, 0
39270, 1, 1, 0
39276, 1, 0, 0
39280, 0, 0, 0
39281, 0, 1, 0
39286, 0, 0, 0
39291, 0, 1, 0
39297, 0, 0, 0
39301, 0, 1, 0
39307, 0, 0, 0
39311, 0, 1, 0
39317, 0, 0, 0
39322, 0, 1, 0
39327, 0, 0, 0
39332, 0, 1, 0
39337, 0, 0, 0
39342, 0, 1, 0
39348, 0, 0, 0
39352, 0, 1, 0
39358, 0, 0, 0
39362, 1, 0, 0
39363, 1, 1, 0
39368, 1, 0, 0
39373, 1, 1, 0
39378, 1, 0, 0
39383, 1, 1, 0
39389, 1, 0, 0
39393, 1, 1, 0
39399, 1, 0, 0
39404, 1, 1, 0
39409, 1, 0, 0
39413, 0, 0, 0
39414, 0, 1, 0
39419, 0, 0, 0
39424, 0, 1, 0
39430, 0, 0, 0
39434, 1, 1, 0
39440, 1, 0, 0
39444, 0, 0, 0
39445, 0, 1, 0
39450, 0, 0, 0
39455, 0, 1, 0
39460, 0, 0, 0
39465, 0, 1, 0
39471, 0, 0, 0
39475, 0, 1, 0
39481, 0, 0, 0
39485, 0, 1, 0
39491, 0, 0, 0
39496, 0, 1, 0
39501, 0, 0, 0
39506, 0, 1, 0
39512, 0, 0, 0
39516, 0, 1, 0
39522, 0, 0, 0
39526, 1, 1, 0
39532, 1, 0, 0
39537, 1, 1, 0
39542, 1, 0, 0
39547, 1, 1, 0
39553, 1, 0, 0
39557, 1, 1, 0
39563, 1, 0, 0
39567, 1, 1, 0
39573, 1, 0, 0
39577, 0, 0, 0
39578, 0, 1, 0
39583, 0, 0, 0
39588, 0, 1, 0
39594, 0, 0, 0
39598, 1, 1, 0
39604, 1, 0, 0
39608, 0, 1, 0
39614, 0, 0, 0
39619, 0, 1, 0
39624, 0, 0, 0
39629, 0, 1, 0
39634, 0, 0, 0
39639, 0, 1, 0
39645, 0, 0, 0
