Sample, R1, STROBE, L
489141, 0, 1, 1
489148, 0, 0, 1
489154, 0, 1, 1
489161, 0, 0, 1
489167, 0, 1, 1
489174, 0, 0, 1
489180, 0, 1, 1
489187, 0, 0, 1
489192, 0, 0, 0
489295, 0, 1, 0
489302, 0, 0, 0
489307, 1, 0, 0
489308, 1, 1, 0
489315, 1, 0, 0
489320, 1, 1, 0
489327, 1, 0, 0
489333, 1, 1, 0
489340, 1, 0, 0
489346, 1, 1, 0
489353, 1, 0, 0
489359, 1, 1, 0
489366, 1, 0, 0
489371, 0, 0, 0
489372, 0, 1, 0
489379, 0, 0, 0
489384, 0, 1, 0
489391, 0, 0, 0
489397, 1, 1, 0
489404, 1, 0, 0
489410, 0, 1, 0
489417, 0, 0, 0
489423, 0, 1, 0
489430, 0, 0, 0
489436, 0, 1, 0
489443, 0, 0, 0
489448, 0, 1, 0
489455, 0, 0, 0
489461, 0, 1, 0
489468, 0, 0, 0
489474, 0, 1, 0
489481, 0, 0, 0
489487, 0, 1, 0
489494, 0, 0, 0
489500, 0, 1, 0
489507, 0, 0, 0
489512, 1, 1, 0
489519, 1, 0, 0
489525, 1, 1, 0
489532, 1, 0, 0
489538, 1, 1, 0
489545, 1, 0, 0
489551, 1, 1, 0
489558, 1, 0, 0
489564, 1, 1, 0
489571, 1, 0, 0
489576, 0, 1, 0
489583, 0, 0, 0
489589, 0, 1, 0
489596, 0, 0, 0
489602, 1, 1, 0
489609, 1, 0, 0
489614, 0, 0, 0
489615, 0, 1, 0
489622, 0, 0, 0
489628, 0, 1, 0
489635, 0, 0, 0
489640, 0, 1, 0
489647, 0, 0, 0
489653, 0, 1, 0
489660, 0, 0, 0
489666, 0, 1, 0
489673, 0, 0, 0
489679, 0, 1, 0
489686, 0, 0, 0
489692, 0, 1, 0
489699, 0, 0, 0
489704, 0, 1, 0
489711, 0, 0, 0
489717, 1, 1, 0
489724, 1, 0, 0
489730, 1, 1, 0
489737, 1, 0, 0
489743, 1, 1, 0
489750, 1, 0, 0
489756, 1, 1, 0
489763, 1, 0, 0
489768, 1, 1, 0
489775, 1, 0, 0
489781, 0, 1, 0
489788, 0, 0, 0
489794, 0, 1, 0
489801, 0, 0, 0
489806, 1, 0, 0
489807, 1, 1, 0
489814, 1, 0, 0
489819, 0, 0, 0
489820, 0, 1, 0
489827, 0, 0, 0
489832, 0, 1, 0
489839, 0, 0, 0
489845, 0, 1, 0
489852, 0, 0, 0
489858, 0, 1, 0
489865, 0, 0, 0
489871, 0, 1, 0
489878, 0, 0, 0
489884, 0, 1, 0
489891, 0, 0, 0
489896, 0, 1, 0
489903, 0, 0, 0
489909, 0, 1, 0
489916, 0, 0, 0
489922, 1, 1, 0
489929, 1, 0, 0
489935, 1, 1, 0
489942, 1, 0, 0
489948, 1, 1, 0
489955, 1, 0, 0
489960, 1, 1, 0
489967, 1, 0, 0
489973, 1, 1, 0
489980, 1, 0, 0
489986, 0, 1, 0
489993, 0, 0, 0
489999, 0, 1, 0
490006, 0, 0, 0
490011, 1, 0, 0
490012, 1, 1, 0
490019, 1, 0, 0
490024, 0, 1, 0
490031, 0, 0, 0
490037, 0, 1, 0
490044, 0, 0, 0
490050, 0, 1, 0
490057, 0, 0, 0
490063, 0, 1, 0
490070, 0, 0, 0
490076, 0, 1, 0
