Sample, R1, STROBE, L
179121, 0, 0, 1
179127, 0, 1, 1
179134, 0, 0, 1
179140, 0, 1, 1
179147, 0, 0, 1
179153, 0, 0, 0
179255, 0, 1, 0
179262, 0, 0, 0
179267, 1, 0, 0
179268, 1, 1, 0
179275, 1, 0, 0
179281, 1, 1, 0
179288, 1, 0, 0
179294, 1, 1, 0
179301, 1, 0, 0
179306, 1, 1, 0
179313, 1, 0, 0
179319, 1, 1, 0
179326, 1, 0, 0
179332, 0, 1, 0
179339, 0, 0, 0
179345, 0, 1, 0
179352, 0, 0, 0
179357, 1, 0, 0
179358, 1, 1, 0
179365, 1, 0, 0
179370, 0, 1, 0
179377, 0, 0, 0
179383, 0, 1, 0
179390, 0, 0, 0
179396, 0, 1, 0
179403, 0, 0, 0
179409, 0, 1, 0
179416, 0, 0, 0
179422, 0, 1, 0
179429, 0, 0, 0
179434, 0, 1, 0
179441, 0, 0, 0
179447, 0, 1, 0
179454, 0, 0, 0
179460, 0, 1, 0
179467, 0, 0, 0
179472, 1, 0, 0
179473, 1, 1, 0
179480, 1, 0, 0
179486, 1, 1, 0
179493, 1, 0, 0
179498, 1, 1, 0
179505, 1, 0, 0
179511, 1, 1, 0
179518, 1, 0, 0
179524, 1, 1, 0
179531, 1, 0, 0
179536, 0, 0, 0
179537, 0, 1, 0
179544, 0, 0, 0
179550, 0, 1, 0
179557, 0, 0, 0
179562, 1, 1, 0
179569, 1, 0, 0
179575, 0, 1, 0
179582, 0, 0, 0
179588, 0, 1, 0
179595, 0, 0, 0
179601, 0, 1, 0
179608, 0, 0, 0
179614, 0, 1, 0
179621, 0, 0, 0
179626, 0, 1, 0
179633, 0, 0, 0
179639, 0, 1, 0
179646, 0, 0, 0
179652, 0, 1, 0
179659, 0, 0, 0
179665, 0, 1, 0
179672, 0, 0, 0
179677, 1, 0, 0
179678, 1, 1, 0
179685, 1, 0, 0
179690, 1, 1, 0
179697, 1, 0, 0
179703, 1, 1, 0
179710, 1, 0, 0
179716, 1, 1, 0
179723, 1, 0, 0
179729, 1, 1, 0
179736, 1, 0, 0
179741, 0, 0, 0
179742, 0, 1, 0
179749, 0, 0, 0
179754, 0, 1, 0
179761, 0, 0, 0
179767, 1, 1, 0
179774, 1, 0, 0
179780, 0, 1, 0
179787, 0, 0, 0
179793, 0, 1, 0
179800, 0, 0, 0
179806, 0, 1, 0
179813, 0, 0, 0
179818, 0, 1, 0
179825, 0, 0, 0
179831, 0, 1, 0
179838, 0, 0, 0
179844, 0, 1, 0
179851, 0, 0, 0
179857, 0, 1, 0
179864, 0, 0, 0
179870, 0, 1, 0
179877, 0, 0, 0
179882, 1, 1, 0
179889, 1, 0, 0
179895, 1, 1, 0
179902, 1, 0, 0
179908, 1, 1, 0
179915, 1, 0, 0
179921, 1, 1, 0
179928, 1, 0, 0
179934, 1, 1, 0
179941, 1, 0, 0
179946, 0, 1, 0
179953, 0, 0, 0
179959, 0, 1, 0
179966, 0, 0, 0
179971, 1, 0, 0
179972, 1, 1, 0
179979, 1, 0, 0
179984, 0, 0, 0
179985, 0, 1, 0
179992, 0, 0, 0
179998, 0, 1, 0
180005, 0, 0, 0
180010, 0, 1, 0
180017, 0, 0, 0
180023, 0, 1, 0
180030, 0, 0, 0
180036, 0, 1, 0
180043, 0, 0, 0
180049, 0, 1, 0
180056, 0, 0, 0
180062, 0, 1, 0
180069, 0, 0, 0
180074, 0, 1, 0
180081, 0, 0, 0
180087, 1, 1, 0
180094, 1, 0, 0
180100, 1, 1, 0
180107, 1, 0, 0
180113, 1, 1, 0
180120, 1, 0, 0
180126, 1, 1, 0
180133, 1, 0, 0
180138, 1, 1, 0
180145, 1, 0, 0
180151, 0, 1, 0
180158, 0, 0, 0
180164, 0, 1, 0
180171, 0, 0, 0
180176, 1, 0, 0
180177, 1, 1, 0
180184, 1, 0, 0
180189, 0, 0, 0
180190, 0, 1, 0
180197, 0, 0, 0
180202, 0, 1, 0
180209, 0, 0, 0
180215, 0, 1, 0
180222, 0, 0, 0
180228, 0, 1, 0
180235, 0, 0, 0
180241, 0, 1, 0
180248, 0, 0, 0
180254, 0, 1, 0
180261, 0, 0, 0
180266, 0, 1, 0
180273, 0, 0, 0
180279, 0, 1, 0
180286, 0, 0, 0
180291, 1, 0, 0
180292, 1, 1, 0
180299, 1, 0, 0
